City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
NORTH GOA,30010100401,2015-16,ROSARY CONVENT PRIMARY SCHOOL,PERNEM,MANDRE/MORJI,MANDREM,Goa,403527,,,,ChIJ7R5zgu7uvzsRNvX1nfpU5xQ,A,VILLAGE_NAME,mandrem,Our Lady of the Rosary School,"Mandrem, Goa 403512, India"
NORTH GOA,30010100201,2015-16,OUR LADY OF MOUNT CARMEL HIGH SCHOOL,PERNEM,PALYE/KERI/HARMAL,ARAMBOL,Goa,403524,,,,ChIJccPCPVDuvzsRekI_h7rt43Q,A,VILLAGE_NAME,arambol,Our Lady Of Mount Carmel High School,"Arambol, Goa 403519, India"
NORTH GOA,30010500308,2015-16,ANJUMAN NURUL ISLAM HIGH SC,TISWADI,PANAJI 1,PANAJI,Goa,403001,,,,ChIJF9yDPY_AvzsRGYxCH04UkZM,B,Pincode,403001,Anjuman Nurul Islam High School,"Dr .Dada Vaidya Rd, Ozari, Panjim, Goa 403001, India"
NORTH GOA,30010100102,2015-16,G.P.S. IBRAMPUR,PERNEM,CHANDEL/HASSAPUR,IBRAMPUR,Goa,403503,,,,,,,,,
NORTH GOA,30010100204,2015-16,HARMALPANCHAKROSHI  HR SEC SCHOOL,PERNEM,PALYE/KERI/HARMAL,ARAMBOL,Goa,403524,,,,ChIJdfpDRkXuvzsRjklIzGq2GHs,A,VILLAGE_NAME,arambol,Harmal Panchakroshi Higher Sec. School,"274/1, Major District Road 17, Arambol, Goa 403524, India"
SOUTH GOA,30020107801,2015-16,ST. ROCKS HIGH SCHOOL,SALCETE,G.P.S BARADI,TOLLECANTO,Goa,403723,,,,ChIJef5n-vNMvjsRBMs8jIqpDHE,A,VILLAGE_NAME,tollecanto,St. Rock's High School,"South Goa, Tollecanto, Ambelim, Goa 403723, India"
SOUTH GOA,30020103307,2015-16,NEW ERA HIGH SCHOOL,SALCETE,G.H.S. AQUEM VIDYANAGAR,MARGAO,Goa,403601,,,,ChIJp6hDwemzvzsRvqRAmOxeq8Y,A,VILLAGE_NAME,margao,New Era High School,"Vishant Road, Margao, Vishant Road, Martin Dias Rd, Malbhat, Goa, 403601, India"
SOUTH GOA,30020103308,2015-16,BHATIKAR MODEL HIGH SCHOOL,SALCETE,GOVT. MULTIPURPOSE HS BORDA,MARGAO,Goa,403709,,,,ChIJbYhduy6yvzsRpmgrZHIFMiQ,A,VILLAGE_NAME,margao,Bhatikar Model High School,"Gogal Housing Board, South Goa, Margao, Goa 403601, India"
SOUTH GOA,30020103330,2015-16,RAMACRISHNA MADEVA SALGAOCAR HR. SE,SALCETE,G.P.S. A.V.LOURENCE,MARGAO,Goa,403601,,,,ChIJ_f___9KzvzsRYgfcqXaToU8,A,VILLAGE_NAME,margao,R M Salgaocar Higher Secondary School,"Govind Ramnath Kare Road, Tansor, Comba, Margao, Goa 403601, India"
SOUTH GOA,30020503206,2015-16,G.P.S SATORLIM,CANACONA,CRC YEDA KHOTIGAO,GAONDONGARI,Goa,403702,,,,,,,,,
SOUTH GOA,30020503207,2015-16,G.P.S SHRISTHAL,CANACONA,CRC  GAONDONGARI,GAONDONGARI,Goa,403702,,,,ChIJLbMKeJFavjsR-cE4xIu_QXk,B,Locality,canacona,Sristhal,"Mastimol, Canacona, Goa 403702, India"
SOUTH GOA,30020503208,2015-16,G.P.S TUDAL,CANACONA,CRC  GAONDONGARI,GAONDONGARI,Goa,403702,,,,ChIJE0sDtEhXvjsRj7hxjB6iQM0,B,Pincode,403702,Tudal High School Tudal - Gaondongrim,"Gaodongrem, Goa 403702, India"
SOUTH GOA,30020200301,2015-16,"GOVERNMENT PRIMARY MIDDLE SCHOOL, JETTY",MORMUGAO,G.P.S. BOGDA,JETTY,Goa,403803,,,,,,,,,
SOUTH GOA,30020501401,2015-16,G.P.S NEVEM KHOLA,CANACONA,CRC GAVAL KHOL, KHOLA,Goa,403703,,,,,,,,,
SOUTH GOA,30020501501,2015-16,G.P.S BHATPAL ,CANACONA,CRC  GAONDONGARI,SHRISTHAL,Goa,403702,,,,ChIJF5iJpGBavjsRiQWROQv58nU,B,Pincode,403702,Bhatpal Market,"South Goa, Goa 403702, India"
SOUTH GOA,30020501502,2015-16,G.P.S. VAIZAWADA,CANACONA,CRC SHRISTHAL,SHRISTHAL,Goa,403702,,,,,,,,,
SOUTH GOA,30020501503,2015-16, SHRI SARASWATI VIDYA MANDIR KHALWADEM,CANACONA,CRC SHRISTHAL,SHRISTHAL,Goa,403702,,,,,,,,,
NORTH GOA,30010201904,2015-16,GPS CHIKALI COLVALE,BARDEZ,G.P.S. MUNAG ASSAGAO,COLVALE,Goa,403513,,,,,,,,,
NORTH GOA,30010201905,2015-16,GPS TARWADA COLVALE,BARDEZ,G.P.M.S. THIVIM,COLVALE,Goa,403513,,,,,,,,,
NORTH GOA,30010201907,2015-16,DR. AMBEDKAR HIGHER SECONDARY SCHOO,BARDEZ,G.P.S. TANK REVODA,COLVALE,Goa,403513,,,,ChIJLakZ4VfrvzsRMl_h2s51DtM,A,VILLAGE_NAME,colvale,Dr. Ambedkar Higher Secondary School,"Rai Vaddo, Colvale, Bardez, Goa 403513, India"
NORTH GOA,30010201908,2015-16,SHREE RAM VIDYA MANDIR,BARDEZ,G.P.S. MUNAG ASSAGAO,COLVALE,Goa,403513,,,,ChIJ347QrEXrvzsRD5WSSK3T3cM,A,VILLAGE_NAME,colvale,Shri Ram Vidya Mandir School,"Mini Satellite Twp, Colvale, Goa 403517, India"
SOUTH GOA,30020500304,2015-16,G. P.S. DHAWALKHAJAN,CANACONA,CRC AGONDA,AGONDA,Goa,403702,,,,,,,,,
SOUTH GOA,30020500305,2015-16,G.P.S. PARVEM,CANACONA,CRC AGONDA,AGONDA,Goa,403702,,,,,,,,,
SOUTH GOA,30020500307,2015-16,G.P.S.  MUDKUD,CANACONA,CRC AGONDA,AGONDA,Goa,403702,,,,ChIJ3fO5u7NPvjsR4QKgQtxAj_k,A,VILLAGE_NAME,agonda,"Shree Lakhaneshwar Temple, Mudkud","Mudkud, Agonda, Goa 403702, India"
SOUTH GOA,30020500308,2015-16,ST. ANNE'S INSTITUTE HIGH SCHOOL,CANACONA,CRC GAVAL KHOL,AGONDA,Goa,403702,,,,,,,,,
NORTH GOA,30010600410,2015-16,KENDRIYA VIDYALAYA PONDA,PONDA,CURTI - KHANDEPAR,CURTI,Goa,403401,,,,ChIJx-xVGMO6vzsRwSDiqLcwls4,A,VILLAGE_NAME,curti,KENDRIYA VIDYALAYA PONDA,"Curti, Ponda, Goa 403401, India"
